,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,fraud_count,chip_ratio,online_ratio,swipe_ratio,most_prefer,least_prefer,W_avg_min_amount,W_avg_max_amount,W_avg_mean_amount,W_avg_median_amount,W_avg_count_transaction,M_avg_min_amount,M_avg_max_amount,M_avg_mean_amount,M_avg_median_amount,M_avg_count_transaction,M_evg_unique_merchants,M_median_gap_sec,reissue_per_active_months,fraud_risk
0,825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,9,0.23156043956043956,0.07463736263736263,0.6938021978021978,Swipe,Online,8.159708171206226,290.178579766537,81.05718124147464,71.54733463035019,22.13035019455253,2.589152542372881,559.207627118644,80.41780093083548,68.4289406779661,96.39830508474576,32.644067796610166,18420.0,0.01805590690614723,0
1,1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,21,0.43411407116037903,0.07241194350080457,0.49347398533881637,Swipe,Online,12.066381322957199,320.19719844357974,79.72621057449958,64.61481517509728,10.881322957198444,2.200084745762712,686.2859322033898,79.69650312648653,66.09182203389831,47.398305084745765,28.02542372881356,37530.0,0.015579144072353033,1
2,1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,30,0.1905902348578492,0.41845642768850433,0.39095333745364647,Online,Chip,1.363112840466926,216.73931906614786,33.045917722369296,31.666400778210118,50.36575875486381,0.9789830508474576,412.9237288135593,33.0515069906543,32.34478813559322,219.38983050847457,36.983050847457626,7380.0,0.03645965089805211,1
3,708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,163145,249925,202328,722,4,8,0.4296740006911646,0.0964174634258726,0.4739085358829628,Swipe,Online,14.480116731517509,757.6318287937744,126.51964200151902,61.90368677042802,16.889105058365757,5.520762711864407,1576.1024576271186,125.77074155756169,58.42555084745763,73.5677966101695,33.559322033898304,20040.0,0.015811362209667293,0
4,1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,53797,109687,183855,675,1,0,0.38950904952855747,0.1467432534951772,0.46374769697626533,Swipe,Online,11.8520233463035,389.22258754863816,96.09039028215837,87.13106031128405,17.95136186770428,4.826525423728813,817.6979661016949,96.40836982131745,87.65139830508474,78.19491525423729,36.46610169491525,20160.0,0.00847457627118644,0
5,68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,9,0.4316921525793984,0.049235422618047385,0.5190724248025542,Swipe,Online,7.789747081712062,172.4970428015564,58.15673815976905,56.94656614785992,23.155642023346303,2.2772033898305084,290.0716101694915,58.05112000399667,59.23487288135593,100.86440677966101,26.16949152542373,13680.0,0.026803310997240832,0
6,1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,7,0.23296758104738155,0.3192019950124688,0.4478304239401496,Swipe,Chip,0.33352140077821013,294.9168871595331,34.46650798882013,28.870136186770427,39.007782101167315,0.23983050847457626,514.7501694915254,34.69435160545161,29.22343220338983,169.91525423728814,27.364406779661017,11160.0,0.019814426566302088,0
7,1711,26,67,1993,12,Male,1941 Ninth Street,45.51,-122.64,26790,54623,114711,728,1,,,,,Chip,Chip,,,,,,,,,,,,,,
8,1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,6,0.35643197131730237,0.2646349755826173,0.37893305310008035,Swipe,Online,4.569066147859922,274.43575875486385,64.6206956975382,37.86789883268482,31.472762645914397,2.3496610169491525,441.8095762711864,64.50137518379992,34.957245762711864,137.09322033898306,36.5,9120.0,0.01950150840642486,0
9,1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,18730,38190,81262,810,1,6,0.3228276353276353,0.02492877492877493,0.6522435897435898,Swipe,Online,4.585564202334631,175.89101167315175,21.552513424810957,28.215476653696495,32.778210116731515,2.40364406779661,340.87423728813565,21.52590227240694,29.625466101694915,142.77966101694915,26.364406779661017,3480.0,0.01694915254237288,0
